console	安慰，慰问；控制台，仪表板
concentrate	集中，专心；浓缩；浓缩物concept	观念，概念
conception	概念，观念，计划，意图；设想；怀孕
concern	关心，挂念；涉及，关系到
concise	简明的，简洁的
concrete	具体的，确实的；混凝土；用混凝土修筑
conclude	结束，终止；断定，下结论；缔结；议定
conclusion	结束，终结；结论，推论
confer	商谈，商议；授予，赋予
conference	会议，讨论会
confess	坦白，承认，忏悔
epidemic	流行性的，传染的；流行病；泛滥，传播
episode	片断，一段情节；一集
epoch	时代，纪元，时期
indifferent	冷淡的，不关心的，不积极的；一般的，平庸的；不偏的，中立的
indignant	愤怒的，愤慨的
indignation	愤怒，愤慨
indispensable	必不可少的，必需的
individual	个人的，单独的；独特的；个人，与众不同的人
mess	混乱，困境；脏乱；弄脏，弄乱
message	通讯，消息，信息；启示，要旨，主题思想,寓意；(用电脑、手机等)给……发消息
messenger	送信者，使者
method	方法，措施；方式；条理，规律
militant	好战的，积极从事或支持使用武力的，激进的
military	军事的，军用的，军队的；军队，军方，军人
mind	头脑，精神；悟性；注意力；在乎
redeem	补救，弥补；(尤指基督教的)拯救，救赎；付清；兑现；履行，遵守
reduce	减少，缩小；简化；还原
reduction	减少，缩小
refer	提到；参考；询问，查询
reference	提及，涉及；参考，参照；查阅；推荐信
spoil	损坏，毁坏；宠坏，溺爱
sponsor	发起者，赞助者；发起，举办；资助，赞助
spread	伸展；散布，传播；(使)蔓延，扩散，延伸；广泛，多样；差额，价差
spur	促进，激励，鞭策；刺激
spy	间谍，密探；刺探；搜集情报；发现
stability	稳定（性），安定（性）
stable	稳定的，安定的；沉稳的，可靠的
staff	全体职员，行政人员；为（某部门）配备人员
stage	舞台；阶段，时期；步骤
remote	疏远的，远离的；遥远的，偏僻的
remove	搬迁，移动；挪走；消除；开除，撤职
removal	移动，迁居；除去，切除
remain	剩下，余留；留待；仍然是
remainder	剩余物，残余部分；其他人员；余数
remains	残余；遗迹，废墟
remedy	治疗，药品；补救，纠正；革除，消除
remember	记得，回想起
remind	提醒，使想起
render	使成为；给予，回报；提出
contemporary	同时代的；当代的；同代人
contempt	轻视，轻蔑
content	容量；内容；满足，愿意
contend	竞争，争夺；声称，主张
contest	竞赛，比赛；争夺，争论
context	语境；环境，背景
continual	不断的，连续的
continue	连续，继续
continuous	连续的，持续的
contract	合同，契约；缩小，缩短，缩紧
contradict	反驳；同……相矛盾
contrary	相反的，对抗的；对方的；反对，对立面
contrast	使成对比；对照，对比
diverse	多种多样的，不同的
diversion	转向，转移；娱乐，消遣
divert	转移某人的注意力；转向；挪用资金
divide	划分；分配；分开，隔开
dividend	股息，红利，报酬
division	分开，分配；部门；分歧
document	文件，文献
documentary	文献的，文件的；纪录片
execute	实行，实施，履行
executive	实行的，执行的，行政的；总经理，董事
exemplify	列举，举例证明
exert	用(力)，尽(力)；发挥；施加(压力等)
exhaust	抽完；耗尽；排气装置；废气
exist	存在，生活
existence	存在，生存，生活
exotic	由外国引进的；吸引人的；外来物，外来语
moral	道德的，道义的；寓意
morality	道德，美德moreover再者，此外，而且
mostly	主要地，大部分，基本上
prior	先前的；优先的；更重要的
priority	先前，优先，优先权
privacy	隐居；私事，隐私
private	私人的，个体的；秘密的
privilege	特权，优惠；特殊的待遇
prove	证明；检验，考验，鉴定
provide	提供；规定
provided	倘若，只要，假如
prudent	谨慎的，小心的；有先见之明的
subject	题目，主题；学科，科目；受……支配的；需要……的
subjective	主观的，个人的
submit	屈服，投降；听从；提交
subordinate	下级的；附属的，次要的
subscribe	捐助；订阅；同意；签名
subsequent	随后的，后来的
substance	物质；基本内容；财力，资产
substantial	实质的，真实的；坚固的；大量的，富裕的；重要的
substitute	代替者，代替物；代替，替换
subtle	微妙的；细致的；敏锐的；精妙的
treat	对待，处理；论述，探讨；款待，请客
treaty	条约
trend	倾向，趋势；时髦，时尚
associate	联系，联合，结合；联合的，合伙的
association	协会，团体；联系；联想
amend	修改，修订；改进，改善
among(st)	在……之中，在……中间
amount	数量，总额；达到……之多
ample	充足的，丰富的；宽敞的，面积大的
amuse	逗乐，给……提供娱乐
anchor	精神支柱；抛锚，停留；固定，扎根
stand	站立；坐落，位于；坚持；经受，忍受；台，座
standard	标准，水平，规格，规范；普通的，标准的
standpoint	立场，观点start	开始；出发；启动；开端，开始，起点；吃惊
startle	惊讶，惊吓，使吃惊
starve	挨饿；急需，渴望
state	状态，情况；国，州；陈述，说明
statement	声明，陈述
statesman	政治家，国务活动家
statistics	统计数据；统计资料；统计学
statue	塑像，雕塑
status	地位，身份；情形，状况
statute	法令，法规，规则，条例
stay	停留；保持；逗留；作客
steady	牢固的；坚定的；使稳固，使稳定
steer	掌舵，驾驶；带领，指导
stem	茎，干；制止，阻止；起源于某事物
step	脚步；台阶；步骤，措施；踏，走
stern	严厉的，严肃的，严格的；船尾，飞机尾部
anonymous	匿名的；无特色的
answer	答案，回答；响应；符合
anticipate	预期，期望；先发制人；使提前发生
anxiety	焦虑，担心，不安；渴望，热望
anxious	焦虑的，发愁的；渴望的，急切的
apart	分离，分开；相隔；单独地，个别地；分离的
assassinate	暗杀，行刺；破坏
assault	攻击，袭击；强暴
assemble	集合，召集；装配，组装
assembly	集合，集会；装配，安装
assert	主张，维护
component	一部分的，组成的；组成部分，成份，部件
compose	组成；创作；使平静
composition	作品；作曲；结构；组成
comprehend	理解，了解
comprehension	理解，了解
comprehensive	广泛的，综合的
condemn	谴责；判刑
condense	压缩，凝结，使简洁
condition	状况，状态；环境，情况
conduct	行为，举止；引导；处理；指挥；传导
conductor	领队，指挥；售票员，列车员；导体，导线
disable	使残疾（废）
disappear	不见，消失
disappoint	使失望，使扫兴
discipline	纪律；训练，自制力；行为准则；(尤指大学里的)学科，专业，科目
disclose	揭露，透露，使公开
discover	发现
discovery	发现；被发现的事物
hoist	举起，升起，吊起
hold	抓住；抑制；容纳；举行；掌握；控制
holder	持有者，占有者；支持物
household	家庭；家庭的
however	无论如何，不管怎样；然而
huddle	蜷缩；聚集在一起
narrative	叙述性的；叙述
narrow	狭窄的；狭隘的
nasty	龌龊的；下流的，讨厌的，严重的
nation	民族，国家
national	民族的，国家的，国立的
nationality	国籍；民族
native	本地的，本国的；天生的；本地人，本国人
natural	自然的；天生的
nature	大自然；本性，天性
overall	全面的，总体的；全部；总体上；工作服，工装裤
overcome	克服，占胜
overlap	重叠，部分重叠
portion	部分，分配
possibility	可能，可能性；希望；机会
possible	可能的；潜在的，合适的，合适的人（或物）
potential	潜在性，可能性；潜在的，可能的
pour	倒，注，灌；倾泻，涌流
holy	神圣的，圣洁的
honor/honour	尊敬；荣誉，光荣；荣幸
honorable/honourable	尊敬的，高尚的；荣誉的，光荣的
horizon	地平	(线)；范围，眼界，见识
horizontal	水平的，地平线的；水平线
ingenious	灵巧的，机灵的；巧妙的
ingredient	组成部分，成分
initial	最初的，开头的；词首的；词首大写字母
initiate	开始，发起；使初步了解
initiative	主动性；进取心
local	地方的，当地的；局部的
locality	位置，地点
locate	指出；使……坐落于，位于
location	位置，场所
neglect	忽视，忽略；疏忽，玩忽
negligible	疏忽的，微不足道的
prescribe	规定，指定；开处方
prescription	药方，开药；计划；建议；秘诀
presence	出席，到场；存在
present	赠送，给予；提出，呈现；礼品；现在
presently	一会儿，不久；现在，目前
preserve	保护，保存
preside	主持，主管，担任(会议)主席；掌管，领导
press	新闻界；出版社，印刷厂；报道；挤压，榨取；催促，逼迫
pressure	压(力)；强制，压迫
prestige	威望，威信；影响力
presumably	推测起来，大概
presume	推测；假设；认为，推定
prevent	防止，预防
previous	先前的，以前的；在……之前
prey	受损害者；牺牲品；捕食；掠夺；损害
reliable	可靠的
reliance	依靠，依赖
religion	宗教，信仰；信念，信条
religious	宗教的；虔诚的
rely	依赖，依靠；信赖，信任
straight	笔直的；端正的；正直的；直率地
straightforward	正直的，坦率的；简单的
strain	使紧张；使损伤；拉力，张力；努力，尽力
strategy	战略，策略
strength	力量，实力，活力，效力
strengthen	加强，巩固
strenuous	努力的；精力充沛的；紧张的；热心的
transaction	办理，处理，交易，事务
transfer	转移；转让；迁移；调动
transform	改变，改造；转（变）换；使改观
transient	短暂的；临时的
translation	翻译，译文，译本
visible	可见的；明显的，有形的
vision	视力，视觉；想象；目光
visual	看的，视觉的
architect	建筑师，设计师；缔造者，创造者
architecture	建筑学；建筑风格，建筑式样
area	地区，区域；范围，领域
argue	争论，辩论，主张，说服
argument	争论，辩论；论据，论点
arise	形成，产生；上升；起立
arouse	引起，唤起，激起；唤醒
array	大量；排列，队形；部署；穿着，打扮
vital	(有)生命力的；致命的，极其重要的
vivid	鲜艳的；生动的，栩栩如生的
void	没有的，缺乏的
volume	容积，体积；卷，册；音量
consequence	结果，后果；影响；重要性
consequently	因而，所以
conservation	保存，保护，避免损失
conservative	保守的，守旧的；保守主义者
consider	考虑；认为；体贴，关心
considerable	相当多的，可观的
considerate	考虑周到的，体谅的
consume	消耗，花费；耗尽
consumption	消费；消耗；肺结核，肺病
dispute	争论，争执
dissolve	溶解，融化；解散，取消
exchange	交换，兑换；交流，交易
exclude	拒绝，排斥
exclusive	专有的，独占的；除外的；(商品、商店等)高档的；独家新闻
stick	棍，棒，拐杖；刺，戳；粘住，粘贴
stimulate	刺激，促使；使兴奋
stir	搅动，搅拌；移动；引起，轰动，骚乱
stock	原料，库存；资本，股票；储存，供应
store	商店，店铺；贮藏；贮备
storage	储存，储藏，保管；库房
approach	靠近，接近；处理，对付；方法，态度
appropriate	恰当的，相称的
approval	赞成，批准，同意，认可
approve	批准，通过；赞成，同意
apt	恰当的；聪明的
conform	相似，一致，符合；遵从，适应
confront	面临，遭遇；勇敢地面对，正视
confuse	使混乱，混淆
confusion	混乱，混淆
congress	(代表)大会；国会，议会
connect	连接；联系，结合
connection/connexion	联系；连接
conscious	神志清醒的；意识到的，自觉的
dismiss	解雇，免职
disorder	混乱；骚乱；失调，疾病
disperse	分散，驱散，散去
displace	转移；替代，撤换
display	陈列，展览
distribute	分配；分布，散布
distort	扭曲；歪曲，曲解
distract	使转向；使分心，分散
evidence	形迹，迹象；根据，证据
evident	明显的，明白的
evil	邪恶的，罪恶的；邪恶，罪恶
evolution	进化，发展，演化
evolve	使发展，使进化，演变
exaggerate	夸张，夸大
examine	检查，细查
infer	推断，推定
inference	推论，推理；结论，推断结果
inferior	下等的，下级的；差的；下级，晚辈
influence	影响，感化；势力，权势
influential	有影响的；权势的
inform	通知，报告；告发，告密
information	情报，资料，消息；信息
mock	嘲笑，嘲弄；挫败；仿制的，假装的；模拟的
mode	方式，式样
model	模型，原型；模式；榜样；仿效，模仿；模范的，榜样的
moderate	温和的，有节制的；适度的，中等的
modern	现代的，近代的，新式的
moderniz(s)ation	现代化
modest	谦逊的；适度的
modify	修改；缓和，减轻；修饰
predecessor	前辈，前任；原有事物
predict	预言，预测，预告
preface	序言，引言，前言
preferable	更可取的，更好的
preference	偏爱，优待，优惠；优先（权）
prejudice	偏见，歧视；损害，侵害
preliminary	预备的，初步的
premier	首相，总理
premise	前提；假定；营业场所；引导
premium	额外费用；奖金；保险费；学费
preparation	准备，预备；制剂
reflect	反映，表现；反省；考虑
reflection/reflexion	影像，倒影；考虑，沉思；想法
reform	改革；改造，改过自新；变革，改善
reject	拒绝，驳回；排斥，退掉
rejoice	感到高兴，充满喜悦
relate	讲述，叙述；联系
relation	关系，联系；亲属，亲戚
relationship	关系，联系
relative	亲属，亲戚；比较的，相对的；相关的
relativity	相关(性)，相对论
relevant	有关的，相称的；有重大关系的；有意义的
confine	幽禁，禁闭；限制，使局限
confirm	加强，巩固；证实，肯定；确认
conflict	战争，战斗；冲突，抵触
confidence	信任，信心，把握
confident	确信的，自信的
confidential	秘密的，机密的；亲信的
trail	踪迹，痕迹；追踪，跟踪
train	列车，火车；行列，一串；训练，培养
training	训练，培养
trait	特征，特点，特性
traitor	叛徒，卖国贼
victim	牺牲品，受害者
view	景象，风景；见解；观察；看待；考虑
viewpoint	观点
violence	暴力，暴行；狂热；激烈
violent	猛烈的，激烈的
virtual	实际上的，事实上的
virtue	美德；优点，长处
apparent	显然的；表面上的
appeal	有感染力；求助；申诉；恳求
appear	出现，暴露；出场；问世；来到；仿佛
appearance	出现，露面；外表，外貌
appliance	用具，器具
applicable	能应用的，适用的
application	请求，申请；适用，应用
appoint	任命，委派；约定，指定
appointment	约会；预约；任命，委托；职务，职位
apply	应用，使用；使专注于；申请，请求
appreciate	欣赏；感激；理解；涨价，增值
discriminate	区别，辨别；歧视
discuss	讨论，商议
disease	疾病
disgrace	使丢脸；使失去地位；耻辱；失势
escape	逃跑，逃脱；躲避，避免
especially	特别，尤其
essay	文章，短文；企图，试图
essence	本质，实质；要素
essential	必要的，必不可少的；本质的，基本的
establish	建立，设立；查实；安置，使定居；派任
estimate	估计，估价
ethic	道德体系；行为准则；伦理学，道德学
ethnic	民族的，种族的；少数民族的成员
evaluate	估价，评价
industrial	工业的，产业的
industrializ(s)e	工业化
industry	工业，产业；勤劳，勤奋
inevitable	不可避免的，必然发生的
miserable	痛苦的，悲惨的
misery	痛苦，悲惨，不幸
mislead	把……引入歧途；使产生错误想法，欺骗
mix	混合，合群；混淆
mixture	混合，混合物
necessary	必需的，必要的；必然的，无法避免的
necessitate	使成为必要，需要；迫使
necessity	必要；必需品；必然性；迫不得已；贫困
negative	否定的，消极的；阴性的；负数
negotiate	谈判，交涉，商议
outer	外部的，外面的，外层的
outlet	出路，出口；发泄途径
outline	轮廓，外形；提纲，大纲，梗概
outlook	景色，风光；观点，见解；前景，展望
output	产量，输出量
poverty	贫穷，贫困
power	能力；功率，动力；权力，势力，政权
practical	实际的，实用的
practice	练习；实践；业务，开业
practise	实践，实习，训练；从事
practitioner	实习者；从业者
preach	讲道，说教；竭力鼓吹，宣传
precede	在前，先于
precaution	预防，警惕；预防措施
precedent	先例；在前的，优先的
preceding	在前的，前面的，在先的
precious	珍贵的，贵重的
precise	精确的，准确的
precision	精确，精密度
stress	压力，紧张；着重，强调
stretch	伸长；延伸；延续；使倾注全力；一片，一段
elaborate	精心计划的，详尽的；精心制作；详述
elegant	优雅的，优美的，精致的
element	元素；组成部分
elementary	初等的，基本的
eliminate	排除，消除；淘汰
abolish	废止，废除
absence	缺勤，缺席；缺乏，没有
absent	缺席的；漫不经心的
abroad	到国外，在国外
absolute	纯粹的，完全的；不受任何限制的；肯定的
absorb	占去；承受，忍受；吸收（液体、气体等）
abstract	抽象的；摘要；提取，抽取
ban	禁止，取缔；禁令
bar	条，块，杆，棒；酒吧，酒柜；禁闭，封闭
bare	赤裸的；基本的，微小的；仅仅的
barely	赤裸裸地，无遮蔽地；空空地；仅仅，勉强
bargain	廉价货；交易；合同；议价；成交
beam	束，柱；梁；微笑；发光
become	成为，变得；适宜，同……相称
capable	有能力的，能胜任的
capacity	才能，能力；生产力；接受力；容量，容积
capital	首都；大写字母；资本，资金；首位的，最重要的
captive	被俘的，被监禁的；俘虏
capture	俘虏，捕获；夺得，攻占
career	生涯，经历；职业；职业的
careful	小心的，仔细的；精心的
case	事例，事实；病例；案件
cast	投，扔，抛，撒，分选演员；铸造；演员表，角色分派
casual	偶然的，无计划的，随便的，非正式的
casualty	伤亡者，牺牲品
catch	捉住；赶上；感染；得病；理解
category	类别，种类；类目
cater	提供饮食，承办酒席，提供节目，满足需要
cause	导致，引起；原因，起因，理由；事业，（奋斗的）目标
caution	谨慎；警告；提醒
cautious	小心的，谨慎的
cease	停止，终止，结束
celebrate	庆祝
celebrity	名人；名声，名望
ceremony	典礼，仪式；礼节，礼仪
certain	确定的，肯定的；某，某些；轻微的
certainty	必然，确定；必然的事，确定的事
certificate	证书，执照
certify	证明，证实；发证书
decline	下降，减少；衰退；倾斜；拒绝，谢绝
decrease	减少，减小
deem	认为；相信
dedicate	奉献
deduce	演绎，推论
deduct	减去，扣除；推论
fashion	样子；流行式样，时尚，时装
fashionable	流行的，时髦的
favo(u)r	恩惠；好感，偏爱；赞同；支持；有利于
favo(u)rable	赞许的，有利的
favo(u)rite	最喜欢的，中意的；最喜爱的人或物
sit	坐，就座；参加考试
site	位置，场所，地点；遗址；使坐落在；设置
situated	处于某种状况的
situation	形势，状况；职务，工作；位置，环境
skeleton	骨骼；框架，梗概，提要；（维持运作所需的）最少人员
skeptical	怀疑的，无神论的
sketch	素描；草图；概述，纲要；画素描；简述
radiant	发光的，辐射的，照耀的；极漂亮的
radiate	发出，辐射，发射；发散
radical	根本的，基本的；彻底的；激进的
ideal	理想的，完美的；理想主义的；理想
ideology	思想意识，观念形态
identical	相同的，一模一样的
identification	识别，鉴别
identify	使等同于；识别，鉴别
identity	相同性，一致（性）；本身；身份
journal	杂志；日志，日记
journalist	记者，新闻工作者
journey	旅行，旅程
judge	法官，审判员；裁判员；审判；评定
judgment/judgement	审判，判决；判断力，看法
judicial	法庭的，司法的；公正的
jury	陪审团，评判委员会
justice	公正，合理；审判，司法
justify	证明……正当
key	答案，解答；关键；关键的；使和谐
knit	编织，编结；愈合，接合
label	标签，标记；把……称为，把……归类为
lag	落后，滞留；减弱，衰退
largely	大量地；主要地
lateral	侧面的，旁边的
latter	后一半的；后者
law	法律，法规；规律，定律
magnitude	巨大，广大；大小，数量；重大
magnify	放大；夸大
magnificent	壮观的，宏伟的
maintain	维持，保持；坚持，主张
maintenance	维持，保持；维修，保养
major	大的，重要的；专业，专攻
majority	多数，大多数；法定年龄；成年
make	制造；构成，组成；成为
theme	主题，题目
theory	理论；学说，见解，看法
theoretical	理论上的
therapy	疗法，理疗
object	物体，对象；目的，宗旨；反对，不赞成
objective	客观的，无偏见的；目的，宗旨
objection	反对，异议
obligation	义务，责任
oblige	强迫，迫使；使感激
obscure	遮蔽；混淆；费解的；不著名的
observation	观察，观测，监视；言论
observe	观察；遵守，奉行
obsession	迷住，牵挂
obsolete	废弃的；过时的
obtain	获得，得到
obvious	明显的，显而易见的
pace	速度，节奏
panel	控制板；专门小组
panorama	全景；概论，概述
qualification	资格，合格；限定；合格证
qualify	使具有资格；限制，限定
quality	质量；性质；品德，品质
qualitative	性质上的，质量的
safeguard	维护，保护；安全措施
safety	安全，保险
savage	野蛮的；残暴的；野蛮人
save	拯救；储蓄；节省
saving	节约，节俭；储蓄金，存款
scale	刻度；天平；规模，程度；范围
scene	景色，景象；舞台
scenery	风景；舞台布景
tow	拖，拉，牵引
toward(s)	向；对于；将近；为了
take	拿取，携带；服用；记录；取得；花费；抓住；认为；（一次）录音，（一次）拍摄；看法；收入额；捕捞量
talent	才能，天资
target	目标，对象；把……作为目标
taste	品尝；体验，味觉；鉴赏力
technical	技术的，工艺的
technician	技术员，技师，技工
technique	技术，技能
technology	工艺，科技
teenager	青少年
temper	心情，脾气；硬度，韧度
temperature	温度，体温
temporary	暂时的，临时的
tempt	诱惑；吸引
temptation	诱惑，引诱
tend	趋向，倾向；照料，看护
tendency	趋势，趋向
tentative	试验的，试探的，暂时的，推测的
term	学期；任期，期限；条件；关系，地位
terminal	终点站；终端；晚期的；不可救药的
terminate	停止，结束，使终止
testify	证实，作证；表明，说明
trace	痕迹，踪迹；微量，少许；追踪；查出；描绘，草拟
track	足迹；跟踪
tradition	传统，惯例
ultimate	最后的；根本的；最大的，最高的
underestimate	低估
undergo	经历，遭受，忍受
underlie	位于……之下；引起
underlying	根本的；潜在的
underline	在……下划线；强调
understand	理解；获悉；揣测，认为
understanding	理解，谅解；了解的，通情达理的
undertake	承担，接受；同意；负责
uneasy	心神不宁的；不自在的
unemployment	失业，失业人数
unexpected	想不到的，意外的
unify	统一；使相同，使一致
union	联合，合并；协会，工会
unique	唯一的，独一无二的
universal	普遍的，通用的；宇宙的，世界的
universe	宇宙，万物
unlike	不同的；不像
unlikely	靠不住的，不像的
unusual	不平常的，与众不同的
vague	含糊的，不明确的
vain	徒劳的；自负的
valid	合理的，有效的
valuable	贵重的，有价值的；贵重物品，财宝
value	价值；价格；价值观，标准；估价，评价；尊重，重视
vanish	突然消失，逐渐消散
variable	易变的，可变的；可变因素
variation	变化，变动；变种，变异
variety	多种多样；种类，品种
various	各种各样的，不同的
vary	改变，变化
vast	巨大的，辽阔的；大量的，巨额的
wage	工资，报酬；进行，开展
wander	漫步，徘徊；迷路；离题
want	想要，希望；需要，缺少；短缺，必需品
way	方法，方式；方面；方向；路线；习俗
weak	虚弱的，软弱的；不够标准的；稀的
wear	穿，戴；留，著
weary	使厌烦，使疲劳；疲劳的，疲倦的
weigh	称……重量；权衡，比较
weight	重量，分量；重要性；给某人加负担
weird	怪异的，神秘的；命运，前兆
weld	焊接，煅接；使紧密结合，使成整体
welfare	福利，好处
whirl	旋转；发晕，眩晕，混乱
whisper	低语，嘀咕；传闻，谣言
yield	生产，产生；放弃，屈服；产量，收获
youth	青春，青春期；年轻人
zigzag	锯齿形的；曲折；曲折行进
zone	地区，区域；分区，划分地带
zoom	飞驰；急剧上涨，突然扩大
abandon	抛弃，遗弃，离弃；放弃
abide	容忍；遵守；逗留
ability	能力，智能；才能，才干
able	有能力的，能干的
abnormal	反常的，异常的，变态的
background	背景，底色；背景情况
balance	（使）平衡；天平；差额，结余
base	基础，底部；基地；总部；以……为依据
basement	地下室；建筑物的底部
basic	基本的；根本的
basis	基础，根据
calculate	计算；估计，推测；计划
call	喊，叫；称呼，称为
calm	静的，平静的；沉着的；使镇静
campaign	战役；运动，竞选活动；发起运动，开展活动
candidate	候选人；报考者，考生
data	数据，资料
database	数据库
date	日期，年代；约会
deal	处理；经营；协议
dealer	商人
dazzle	耀眼；使惊奇；耀眼的光，闪耀物
debate	争论，辩论
decade	十年
decide	决定；解决，裁决
decision	决定，决心；决策
decisive	决定性的；果断的
decorate	布置，装饰；授勋
economic	经济学的；经济的；合算的
economical	节约的，经济的；省时间的
economics	经济学；经济原则
economy	节约；经济管理；经济制度
educate	教育，培养，训练
education	教育，教育体制；知识；修养
effect	作用，影响；结果；产生，招致，实现
effective	有效的，生效的，得力的
efficient	有效的，效率高的；能胜任的
efficiency	效率，功效
effort	努力，艰难的尝试
fabric	结构，组织
fabricate	建造；捏造，编造
face	面貌；表情；正面；面向
factor	因素，要素
fade	变微弱；变暗淡
fail	衰退；破产；失败
failure	失败；失败者；故障
fair	公平的，合理的；整齐的，清洁的；交易会，博览会
fairly	公正地，诚实地；相当地
fall	跌倒；下降；坠落；秋季
fan	扇子，风扇；煽动，激起
fancy	想象力；幻想；爱好，迷恋；根据想象的，别致的
fascinate	迷住，使神魂颠倒
gain	获得，博得；获益；增加
gamble	赌博；投机；冒险
gap	间隙，缺口
gene	基因
general	一般的，普遍的；总的；将军
generaliz(s)e	归纳，概括；普及；使普遍化
habit	习惯，习性
habitat	自然环境，栖息地
hamper	妨碍，束缚；限制
handicap	障碍，使不利
shield	保护，庇护，保护物
shift	转移；更换，改变
shoulder	肩膀，肩部；肩负，承担
show	呈现；表明；展览，演出
shower	阵雨；一大批，一大串；淋浴；下阵雨
glamour	魅力，吸引力；迷惑，迷住
generate	产生，发生；引起，导致
generation	产生，发生；同时代人；同一时期的产品
generator	发电机，发生器
generous	丰富的，大量的；慷慨的，大方的
genius	天才，天赋
gift	礼品，赠品；天赋，才能
genre	体裁；类型；风格
giant	巨人；巨大的
gigantic	巨大的，庞大的
give	提供；交给，托付；献出
happen	发生，出现；碰巧，恰好
harm	伤害，损害，危害
harmony	协调，和谐；融洽
harsh	严酷的，无情的；严厉的，苛刻的
ignorance	无知，愚昧；不知道
ignorant	无知的，愚昧的
ignore	不顾，不理，忽视
ill	有病的；坏的，不利的；不（善）良地，邪恶地
illness	病，疾病
illusion	幻觉，错觉；幻想中的事物
illustrate	说明，阐明；加插图
illustration	说明，例证；插图，图解
image	形象；肖像，映像；反映
imagine	想象，设想，料想；猜想
imaginary	想象的，虚构的
imagination	想象，空想，想象力
imaginative	富有想象力的，爱想象的
imitate	模仿，仿效；仿造，伪造
imitation	模仿，仿效；仿制，仿制品
lead	领导，引导；领先；导致，引起
leadership	领导，领导层
leading	领导的，指引的；第一位的；最主要的
legal	法律的，法定的；合法的，正当的
legislation	立法，法律的制定
legitimate	合法的，合理的，正统的
leisure	空闲，闲暇；悠闲，安逸
level	数量；程度；浓度；层次；级别；等高的；地位相同的；价值相等的；瞄准，对准
lever	杠杆；手段；操纵，控制
levy	征收，征税；征集，征用
manage	经营，管理，处理；操纵，运用
management	经营，管理；管理部门
manifest	显然的，明了的；显示，表明；显露；证实
manipulate	操作；处理；操纵，控制
manner	方式，方法；举止，风度；礼貌，规矩
margin	边缘；余地，差额
marginal	记在页边的，边缘的
mass	大量，众多；团，块；群众，民众；质量
massive	厚实的，粗大的；大规模的，大量的
